,kcat,data_type,MW,kcat_MW
SAL_m_reverse_num1,4677.44868907671,fill,132289.75120000052,127287.37583925617
3OAR60_1_reverse,69.30816285714286,Other_species,26626.213300000007,9370.8175276172
3OAR80_1_reverse,69.30816285714286,Other_species,26626.213300000007,9370.8175276172
ALATA_L_reverse,80.16384615384615,Other_species,51936.41720000009,5556.599043837118
AKGMALtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
MALOAAtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
PGI_reverse_num1,1868.2132,Other_species,123051.85400000033,54656.3688508097
PDHe2hr_reverse,2.4,Other_species,98295.75339999999,87.89799865352069
GACT_h_reverse,4677.44868907671,fill,29388.071100000016,572981.3033110617
THRA_m_reverse,4677.44868907671,fill,43833.830800000054,384151.1219383576
AKGCITtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
CITtam_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
OAACITtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
TPIh_reverse_num1,4243.61346,Other_species,31511.929000000033,484800.80213432765
TMDS_reverse_num1,5.766468130434783,Other_species,55139.64740000009,376.48563689518954
AKGICITtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
CITtcm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
MALICITtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
OAAICITtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
GHMT2rm_reverse,0.64804,Other_species,109839.83440000012,21.239507622564272
SDH_m_reverse,4677.44868907671,fill,102622.07380000035,164085.7045385113
GAPD_reverse_num1,90.10433645161291,Other_species,141670.97320000012,2289.640593968943
GAPDH_nadp_hi_reverse,265.6,Other_species,160728.80080000014,5948.9027183732915
METS_1_reverse,170.34306666666666,Other_species,84772.71790000038,7233.87258532143
PGKh_reverse,36933.62539583339,Brenda_SA,46653.00050000007,2850000.0000000005
