reactions,metabolites,metabolitestotal,gpr,genes
GLYC3Pabc,glyc3p_e,glyc3p,TM1121 and TM1120 and TM1122,TM1122
GLYC3Pabc,glyc3p_e,glyc3p,TM1121 and TM1120 and TM1122,TM1120
NH3c,nh3_c,nh3,S_0001,S_0001
GLYCDx,glyc_c,glyc,TM0423,TM0423
MALTTRabc_num1,malttr_e,malttr,TM1839 and TM_1837 and TM1836,TM_1837
MALTTRabc_num1,malttr_e,malttr,TM1839 and TM_1837 and TM1836,TM1836
MALTTRabc_num1,malttr_e,malttr,TM1839 and TM_1837 and TM1836,TM1839
GLUTRS_num1,glu__L_c,glu__L,TM1875,TM1875
GLUTRS_num1,trnaglu_c,trnaglu,TM1875,TM1875
GLUTRS_Gln_num1,glu__L_c,glu__L,TM1875,TM1875
GLUTRS_Gln_num1,trnagln_c,trnagln,TM1875,TM1875
HCO3abc,hco3_e,hco3,TM0202 and TM0204 and TM0203,TM0202
HCO3abc,hco3_e,hco3,TM0202 and TM0204 and TM0203,TM0204
HCO3abc,hco3_e,hco3,TM0202 and TM0204 and TM0203,TM0203
GLYCK2,glyc__R_c,glyc__R,TM1585,TM1585
HEX1,glc__D_c,glc__D,TM1469,TM1469
MCOATA,ACP_c,ACP,TM0798,TM0798
MCOATA,malcoa_c,malcoa,TM0798,TM0798
HEX7,fru_c,fru,TM0296,TM0296
GLYCL_2,mlthf_c,mlthf,TM0211,TM0211
HPYRRx,hpyr_c,hpyr,TM1401,TM1401
GMPS2,gln__L_c,gln__L,TM1820,TM1820
HISTD,histd_c,histd,TM1041,TM1041
GLYK_num1,glyc_c,glyc,TM0952,TM0952
GLYTRS,gly_c,gly,TM0216 and TM0217,TM0217
GLYTRS,gly_c,gly,TM0216 and TM0217,TM0216
GLYTRS,trnagly_c,trnagly,TM0216 and TM0217,TM0217
GLYTRS,trnagly_c,trnagly,TM0216 and TM0217,TM0216
GND,6pgc_c,6pgc,TM0438,TM0438
MELIBabc,melib_e,melib,TM1204 and TM1203 and TM1202,TM1204
MELIBabc,melib_e,melib,TM1204 and TM1203 and TM1202,TM1203
MELIBabc,melib_e,melib,TM1204 and TM1203 and TM1202,TM1202
MDH,mal__L_c,mal__L,TM1867,TM1867
GNK,glcn_c,glcn,TM0443,TM0443
MCLORi,mercppyr_c,mercppyr,TM1867,TM1867
GPDDA1,g3pc_c,g3pc,TM1621,TM1621
HISTP,hisp_c,hisp,TM0804,TM0804
GPDDA2,g3pe_c,g3pe,TM1621,TM1621
ME1,mal__L_c,mal__L,TM0542,TM0542
HISTRS,his__L_c,his__L,TM1090,TM1090
HISTRS,trnahis_c,trnahis,TM1090,TM1090
HMPK1,4ahmmp_c,4ahmmp,TM0790,TM0790
MECDPDH2,2mecdp_c,2mecdp,TM0891,TM0891
HPPK,2ahhmp_c,2ahhmp,TM0041,TM0041
MEPCT,2me4p_c,2me4p,TM1393,TM1393
HPROb,1p3h5c_c,1p3h5c,TM0578,TM0578
METAT,met__L_c,met__L,TM1658,TM1658
METB1,achms_c,achms,TM1270,TM1270
METB1,cys__L_c,cys__L,TM1270,TM1270
OMCDC,3c4mop_c,3c4mop,S_0001,S_0001
HSERTA,accoa_c,accoa,TM0881,TM0881
HSERTA,hom__L_c,hom__L,TM0881,TM0881
MHPGLUT,hcys__L_c,hcys__L,TM1286,TM1286
MHPGLUT,mhpglu_c,mhpglu,TM1286,TM1286
HSK,hom__L_c,hom__L,TM0545,TM0545
METS_num1,5mthf_c,5mthf,TM0268,TM0268
METS_num1,hcys__L_c,hcys__L,TM0268,TM0268
METTRS,met__L_c,met__L,TM1085,TM1085
METTRS,trnamet_c,trnamet,TM1085,TM1085
PDIPS,cdp_inost_c,cdp_inost,TM_1418,TM_1418
PDIPS,mi1p__L_c,mi1p__L,TM_1418,TM_1418
HSTPT,glu__L_c,glu__L,TM1040,TM1040
HSTPT,imacp_c,imacp,TM1040,TM1040
MLTG1_num1,malttr_c,malttr,TM1835,TM1835
MLTG2,maltttr_c,maltttr,TM1835,TM1835
HXPRT,hxan_c,hxan,TM0206,TM0206
HXPRT,prpp_c,prpp,TM0206,TM0206
MNLDH2,mnl_c,mnl,TM0298,TM0298
MNLDHr,mnl_c,mnl,TM0298,TM0298
HYDFDN,fdxr_42_c,fdxr_42,TM1426 and TM1425 and TM1424,TM1424
HYDFDN,fdxr_42_c,fdxr_42,TM1426 and TM1425 and TM1424,TM1426
HYDFDN,fdxr_42_c,fdxr_42,TM1426 and TM1425 and TM1424,TM1425
ORNTAC,acorn_c,acorn,TM1783,TM1783
ORNTAC,glu__L_c,glu__L,TM1783,TM1783
MOHMT,3mob_c,3mob,TM1728,TM1728
MOHMT,mlthf_c,mlthf,TM1728,TM1728
ICDHyr,icit_c,icit,TM1148,TM1148
MTHFC,methf_c,methf,TM1767,TM1767
MTHFD,mlthf_c,mlthf,TM1767,TM1767
PPCOAC,hco3_c,hco3,TM0716 and TM0717,TM0717
PPCOAC,hco3_c,hco3,TM0716 and TM0717,TM0716
PPCOAC,ppcoa_c,ppcoa,TM0716 and TM0717,TM0717
PPCOAC,ppcoa_c,ppcoa,TM0716 and TM0717,TM0716
MTHFR2,mlthf_c,mlthf,TM0270,TM0270
ORNTA,akg_c,akg,TM1785,TM1785
ORNTA,orn_c,orn,TM1785,TM1785
IG3PS,gln__L_c,gln__L,TM1036 and TM1038,TM1038
IG3PS,gln__L_c,gln__L,TM1036 and TM1038,TM1036
IG3PS,prlp_c,prlp,TM1036 and TM1038,TM1038
IG3PS,prlp_c,prlp,TM1036 and TM1038,TM1036
PULLe,pullulan1200_e,pullulan1200,TM1845,TM1845
IGPS,2cpr5p_c,2cpr5p,TM0140,TM0140
PPNDH,pphn_c,pphn,TM0155,TM0155
ILETA,akg_c,akg,TM0831,TM0831
ILETA,ile__L_c,ile__L,TM0831,TM0831
NADHDH_num1,q_c,q,TM1216,TM1216
OAADC,oaa_c,oaa,TM0128 and TM0880,TM0880
OAADC,oaa_c,oaa,TM0128 and TM0880,TM0128
PMPK,4ampm_c,4ampm,TM0790,TM0790
P5CR,1pyr5c_c,1pyr5c,TM0578,TM0578
OCBT,cbp_c,cbp,TM1097,TM1097
OCBT,orn_c,orn,TM1097,TM1097
LEUTA,akg_c,akg,TM0831,TM0831
LEUTA,leu__L_c,leu__L,TM0831,TM0831
