,kcat,data_type,MW,kcat_MW
MALTHPabc,5403.507963854259,fill,105122.73010000007,185046.83669621818
MALTabc_num1,3.1,Other_species,245299.7009000004,45.49536733658521
MALt2r,5403.507963854259,fill,203949.34000000043,95379.70885257727
MAN1PT,104.49166666666667,Other_species,37856.55929999999,9936.719209450186
MYC2CYC1,5403.507963854259,fill,65447.87640000001,297223.22159066005
MYC2CYC2,5403.507963854259,fill,65447.87640000001,297223.22159066005
MAN6PI,22925.153333333332,Other_species,43370.70910000005,1902909.9065387405
MANAT1,5403.507963854259,fill,35125.899800000065,553797.3057098824
MANAT2,5403.507963854259,fill,35125.899800000065,553797.3057098824
MCBTS,5403.507963854259,fill,1160166.3724000023,16767.102661003908
MCBTS2,5403.507963854259,fill,1160166.3724000023,16767.102661003908
MYC2CYC3,5403.507963854259,fill,65447.87640000001,297223.22159066005
MYCON1,5403.507963854259,fill,186443.32979999942,104335.34249116051
MYCON2,5403.507963854259,fill,186443.32979999942,104335.34249116051
MYCON3,5403.507963854259,fill,186443.32979999942,104335.34249116051
MYCON4,5403.507963854259,fill,186443.32979999942,104335.34249116051
MCBTS3,5403.507963854259,fill,1160166.3724000023,16767.102661003908
NDPK8,132.0795,Database,87044.08559999985,5462.590556526001
MCD,40563.073689873396,Brenda_SA,1015769.7919000016,143760.0
MCOATA,92.33634818181818,Other_species,123151.35400000004,2699.2058362147227
MDFDH,5403.507963854259,fill,75775.53700000001,256713.83457005827
MYCON5,5403.507963854259,fill,186443.32979999942,104335.34249116051
MYCSacp50_num1,5403.507963854259,fill,226578.7378000001,85853.72510568962
MYCSacp56_num1,5403.507963854259,fill,226578.7378000001,85853.72510568962
MYCSacp58_num1,5403.507963854259,fill,226578.7378000001,85853.72510568962
MYCTR,5403.507963854259,fill,99890.2992000002,194739.91794665976
MYCTR2,5403.507963854259,fill,99890.2992000002,194739.91794665976
MDH,1597.25,Database,137285.53160000005,41884.238877798816
ME1,280.583,Other_species,237687.7036000006,4249.688918278554
NADH10,5403.507963854259,fill,573556.2092000011,33915.8191609641
NADH2r,5403.507963854259,fill,573556.2092000011,33915.8191609641
NADH5_num1,5403.507963854259,fill,50384.6958000001,386082.09022620105
MECDPS,1.8,Database,49373.08679999999,131.24559187982553
NADH9,5403.507963854259,fill,573556.2092000011,33915.8191609641
NADK,5483.883400000002,Brenda_SA,131613.2016000001,149999.99999999997
MEPCT,501.2,Database,72219.64679999997,24983.783221714686
METAT,0.9518819739285714,Other_species,172184.5944000002,19.901752059084636
NH4t,5403.507963854259,fill,147722.43780000007,131683.64237403157
METS,170.34306666666666,Other_species,847606.388400004,723.4903469257489
NADS2,1.6916666666666667,Database,597452.5760000027,10.19327766694569
NNAM,3.8,Database,19604.409100000004,697.8022102181084
NADTRHD_num1,152.372,Other_species,101506.88520000015,5403.9605187294155
NAKtr,5403.507963854259,fill,78149.43400000011,248915.7972644473
METSOXR1,4.804266666,Other_species,81937.99239999996,211.07863996921662
METSOXR2,5.992,Other_species,61272.07599999994,352.0559675503735
MGt5,5403.507963854259,fill,166001.43520000033,117183.49691638867
NNATr,5.5,Database,23340.122700000004,848.3245891419413
NARK_num1,5403.507963854259,fill,334776.58590000053,58106.29981060244
MHPGLUT,0.3990909090909091,Other_species,326321.9840000018,4.402790321130387
MI1PP_num1,3.6,Database,111914.32439999992,115.80287036071326
NNDMBRT,37.924,Other_species,36410.845700000056,3749.6080460443627
NNDPR,0.13,Database,59901.527000000024,7.812822534557421
NO3R1_num1,5403.507963854259,fill,435897.71410000086,44626.59023124089
PDH_num1,136.75,Database,1576965.5614000047,312.18183329440876
NAt,5403.507963854259,fill,57490.66650000018,338361.5089916425
