,gpr,ec
THMtex,b1377 or b0241 or b0929 or b2215,
XYLUtex,b1377 or b0241 or b0929 or b2215,
ALLtex,b1377 or b0929 or b0241 or b2215,
GGPTRCO,b1301,
34dhpactex,b1377 or b0241 or b0929 or b2215,
MALTHXtexi,b4036,
HYD1pp,( b2996 and b2994 and b2997 and b2995 ) or ( b0974 and b0973 and b0972 ) or ( b2721 and b2724 and b2722 and b2723 and b2720 and b2719 ),
FE3DHBZStonex,( b3006 and b1252 and b3005 and b0805 ) or ( b3006 and b1252 and b3005 and b2155 ),
AACTOOR,,"['1.4.3.21', '1.4.3.4', '1.4.3.6']"
H2tpp,s0001,
23DAPPAtex,b1377 or b0241 or b0929 or b2215,
ECAP3pp,b3785 and b3793 and b3792,
FEOXAMtonex,b0150 and b3006 and b1252 and b3005,
FMNRx,b0937 or b3844,"['1.5.1.-', '1.5.1.36', '1.5.1.39', '1.5.1.41', '1.5.1.42']"
PHEt2rpp,b0576 or b0112,
DHBS,b0594,2.7.7.58
MDDCP1pp,b0376 or b0839 or b0632 or b3182 or b2010 or b2430,3.4.16.4
GUI2,b3092,5.3.1.12
OMBZLM,b3833,
GLYCK,b0514,2.7.1.31
MLTG5,b0403,3.2.1.20
GPDDA3,b3449,3.1.4.46
2DOXG6PP,b2293 or b3826 or b1727 or b0446,3.1.3.68
OXAMTC,,2.1.3.5
AGMH,b1107,
MPTG,( b1069 and b2519 and b0089 ) or ( b0089 and b1069 and b3208 ) or ( b1069 and b3396 and b0089 ) or ( b1069 and b0149 and b0089 ),
MPTG2,( b1069 and b3396 and b0089 ) or ( b1069 and b0149 and b0089 ) or ( b0089 and b1069 and b3208 ) or ( b1069 and b2519 and b0089 ),
MCTP1App,( b0084 and b0635 and b3396 ) or ( b0084 and b0635 and b0149 ),
MCTP2App,( b0084 and b0635 and b3396 ) or ( b0084 and b0635 and b0149 ),
MCTP1Bpp,b1678 or b0925,
MELIBt3ipp,b1528,
GLCtex_copy2,b0241 or b0929 or b1377 or b2215,
NAt3pp,b0842 or b1216,
SFGTHi,b2154 or b0355,3.1.2.12
DHORDfum,,1.3.98.1
K2L4Aabcpp,b0914,
DSBCGT,b2893,
DSBGGT,b0604,
DHNAOT4,b3930,2.5.1.74
AMPMS2,b3994,
THIORDXi,b1710 or ( b3781 and b2480 ) or ( b2582 and b2480 ),1.11.1.16
PPPGO3,b3850,1.3.3.4
PDX5POi,b1638,1.4.3.5
PLIPA1A181pp,b3821,
LPLIPAL2A141,b3825,3.1.1.5
HG2t3pp,b3915,
CYTBO3_4pp,b0429 and b0432 and b0431 and b0430,
EAR141x,b1288,1.3.1.9
EAR181x,b1288,1.3.1.9
EAR181y,b1288,1.3.1.10
G3PAT141,b1094 and b4041,2.3.1.15
G3PAT181,b1094 and b4041,2.3.1.15
DASYN140,b0175,2.7.7.41
DASYN180,b0175,2.7.7.41
DASYN141,b0175,2.7.7.41
CDAPPA160,b3918,3.6.1.26
CDAPPA141,b3918,3.6.1.26
PGSA141,b1912,
5DOAN,b0159,
FACOAE120,b0452,3.1.2.2
3OAR120,b1093,"['1.1.1.100', '2.3.1.-', '2.3.1.85', '2.3.1.86']"
3HAD80,b0954 or b0180,"['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59', '4.2.1.61']"
3HAD120,b0180 or b0954,"['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59', '4.2.1.60', '4.2.1.61']"
EAR180x,b1288,1.3.1.9
SO4t2pp,b2413,
EAR180y,b1288,1.3.1.10
AGPAT120,b3018,2.3.1.51
PGPP120,b0418 or b1278,3.1.3.27
DAGK120,b4042,
PSSA180,b2585,2.7.8.8
PSSA161,b2585,2.7.8.8
PSSA141,b2585,
PSD160,b4160,4.1.1.65
PSD161,b4160,4.1.1.65
PSD180,b4160,4.1.1.65
COLIPAabcpp,b0914,
PLIPA2A140pp,b3821,3.1.1.4
PLIPA2A141pp,b3821,3.1.1.4
PLIPA2A180pp,b3821,3.1.1.4
GAM6Pt6_2pp,b3666,
PPALtex,b1377 or b0241 or b0929 or b2215,
CA2tex,b1377 or b0241 or b0929 or b2215,3.6.3.8
CUtex,b1377 or b0241 or b0929 or b2215,
CU1Opp,b0123,1.16.3.-
SUCDi,b0723 and b0721 and b0722 and b0724,
LPLIPAL1E141pp,b0494,
LALDO2x,b3945,"['1.1.1.78', '1.1.1.79']"
12PPDRtex,b1377 or b0241 or b0929 or b2215,
LPLIPAL1E160pp,b0494,
LPLIPAL1E180pp,b0494,
LPLIPAL1E181pp,b0494,
LPLIPAL1G160pp,b0494,
LPLIPAL1G161pp,b0494,
LPLIPAL1G120pp,b0494,
PLIPA2E140pp,b3821,
PLIPA2E160pp,b3821,
PLIPA2A161pp,b3821,
PLIPA2A181pp,b3821,
F6Ptex,b1377 or b0241 or b0929 or b2215,
GAMAN6Ptex,b1377 or b0241 or b0929 or b2215,
ALR4x,b3945,
LPLIPAL1G141pp,b0494,
LPLIPAL1G180pp,b0494,
LPLIPAL1G181pp,b0494,
ACONIs,s0001,5.3.3.7
ACONTb,b0118 or b1276,4.2.1.3
GLCP2,b3417 or b3428,2.4.1.1
F6Pt6_2pp,b3666,
PLIPA2E141pp,b3821,
PLIPA2E181pp,b3821,
PLIPA2G140pp,b3821,
3HAD161,b0954 or b0180,4.2.1.61
PLIPA2G160pp,b3821,
PLIPA2G181pp,b3821,
ASNS1,b0674,6.3.5.4
EAR80y,b1288,2.3.1.86
EAR120y,b1288,2.3.1.86
3OAR181,b1093,1.1.1.100
3HAD121,b0954 or b0180,4.2.1.61
EAR121y,b1288,1.3.1.10
GTHRDHpp,b3447,"['3.4.19.-', '3.4.19.13']"
PROGLYtex,b1377 or b0241 or b0929 or b2215,
MDDCP2pp,b2430 or b0839 or b0632 or b3182 or b2010 or b0376,3.4.16.4
MDDCP3pp,b2430 or b0839 or b0632 or b3182 or b2010 or b0376,3.4.16.4
EAR140x,b1288,2.3.1.-
EAR40y,b1288,2.3.1.86
3OAS181,b1095,2.3.1.179
EAR161y,b1288,1.3.1.10
G3PAT140,b1094 and b4041,2.3.1.15
G3PAT160,b1094 and b4041,2.3.1.15
G3PAT161,b1094 and b4041,2.3.1.15
AGPAT160,b3018,2.3.1.51
CDAPPA140,b3918,3.6.1.26
