reactions,metabolites,metabolitestotal,gpr,genes
AMPTASECG,cgly_c,cgly,SGL_RS17040 and SGL_RS09430 and SGL_RS14865 and SGL_RS16015 and SGL_RS14930,SGL_RS14930
AMPTASECG,cgly_c,cgly,SGL_RS17040 and SGL_RS09430 and SGL_RS14865 and SGL_RS16015 and SGL_RS14930,SGL_RS09430
AMPTASECG,cgly_c,cgly,SGL_RS17040 and SGL_RS09430 and SGL_RS14865 and SGL_RS16015 and SGL_RS14930,SGL_RS16015
MI1PP_num1,mi1p__D_c,mi1p__D,SGL_RS17125,SGL_RS17125
ACOATA,ACP_c,ACP,SGL_RS09325,SGL_RS09325
ACOATA,accoa_c,accoa,SGL_RS09325,SGL_RS09325
KAS14_num1,acACP_c,acACP,SGL_RS09720,SGL_RS09720
KAS14_num1,malACP_c,malACP,SGL_RS09720,SGL_RS09720
MCOATA,ACP_c,ACP,SGL_RS05440,SGL_RS05440
MCOATA,malcoa_c,malcoa,SGL_RS05440,SGL_RS05440
ACCOAC,accoa_c,accoa,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS13980
ACCOAC,accoa_c,accoa,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS13735
ACCOAC,accoa_c,accoa,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS12910
ACCOAC,accoa_c,accoa,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS17700
ACCOAC,hco3_c,hco3,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS13980
ACCOAC,hco3_c,hco3,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS13735
ACCOAC,hco3_c,hco3,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS12910
ACCOAC,hco3_c,hco3,SGL_RS13980 and SGL_RS12910 and SGL_RS17700 and SGL_RS13735,SGL_RS17700
3OAS120_num1,dcaACP_c,dcaACP,SGL_RS05665,SGL_RS05665
3OAS120_num1,malACP_c,malACP,SGL_RS05665,SGL_RS05665
